date;Tn;Tx;Tavg;RH_avg;RR;ss;ff_x;ddd_x;ff_avg;cat_ddd;category_region;flood
10/10/2017;24;32,2;27,7;86;46,2;0,3;3;70;3;1;1;0
11/10/2017;25;34,6;28,9;78;0;5,9;4;260;5;8;1;0
12/10/2017;25;34,2;26,4;89;1,3;6,5;3;180;2;5;1;0
13/10/2017;23;33,8;27,1;83;14,8;6,5;3;250;3;7;1;0
14/10/2017;24;34,6;28,9;79;3,5;5,5;3;180;4;1;1;0
15/10/2017;25;34;29,6;67;0;3,4;4;180;5;5;1;0
16/10/2017;25;33,8;27,2;85;0;2,5;5;220;4;5;1;0
17/10/2017;24;33,2;27,8;79;29,8;2,7;3;140;3;1;1;0
18/10/2017;25;33,8;28,4;79;0;2,5;4;220;5;7;1;1
19/10/2017;25;33;27,1;86;10,3;1,8;4;140;3;5;1;1
20/10/2017;24;30,2;28,7;76;25,2;5,5;3;180;4;5;1;1
21/10/2017;25;35,2;29,5;73;0;5,9;2;90;2;1;1;0
22/10/2017;25;34;30,1;68;0;6,2;4;100;4;1;1;0
23/10/2017;26;33,9;27,7;69;0,4;5,3;4;190;5;5;1;1
24/10/2017;24;35,2;28,2;74;30,6;7,2;4;260;5;8;1;0
25/10/2017;24;33;27,8;80;19;4,6;2;100;3;1;1;0
26/10/2017;25;34,8;28,9;76;0;5,3;4;230;4;7;1;0
27/10/2017;24;33,8;27,9;78;0;4,3;3;180;4;5;1;0
29/10/2017;25;32,4;26,8;83;29,2;2,1;5;260;4;1;1;0
30/10/2017;24;33,8;28,2;78;11;5,7;3;180;4;5;1;0
31/10/2017;24;34;29,1;72;1;4,7;3;270;5;4;1;0
01/11/2017;25;34,4;28,9;72;1;7,1;3;100;4;1;1;0
05/11/2017;26;33,4;29,1;76;7;3,8;2;60;3;3;1;0
07/11/2017;25;29,6;27,3;85;10,5;0;3;60;3;3;1;1
10/11/2017;24;33,2;27,2;82;50,6;6,6;3;180;4;5;1;1
13/11/2017;24;33;27,1;86;80,2;1,7;3;100;4;1;1;1
14/11/2017;25;33;27,3;87;7,3;1,7;3;200;4;5;1;0
15/11/2017;24;31,6;28;84;3,9;0,6;2;270;2;7;1;0
17/11/2017;24;33,6;27,5;84;53;5,5;3;260;4;8;1;1
18/11/2017;24;33;27,2;86;0,7;0,7;3;80;3;8;1;0
19/11/2017;24;32,6;26,9;88;5,1;0;3;140;4;6;1;0
20/11/2017;24;34,4;28,6;76;8,4;7;5;230;4;8;1;0
22/11/2017;25;33,8;27,8;86;51,5;4,5;7;270;7;8;1;1
23/11/2017;24;34,2;28,8;79;46,3;5,7;5;270;6;8;1;0
27/11/2017;25;28,6;25,8;90;10,5;0;5;220;5;8;1;0
28/11/2017;24;29,2;26,1;85;7,5;1,4;7;250;9;8;1;0
30/11/2017;23;29,2;25,3;92;16,2;0,2;5;270;6;8;1;1
01/12/2017;24;30,2;26,4;84;21,5;0,6;7;230;9;7;1;1
09/12/2017;23;33,6;28,3;78;46,8;6,8;5;270;7;8;1;0
11/12/2017;25;33;26,9;86;1,2;0,9;4;260;6;8;1;1
12/12/2017;25;32,8;27,1;88;33,1;1;5;260;4;8;1;1
13/12/2017;23;29,8;26,8;84;10,1;0;4;260;4;7;1;0
14/12/2017;21;31,6;26,6;86;0,2;0;3;250;4;8;1;0
17/12/2017;23;29,4;26,3;88;69,2;0,5;6;260;7;8;1;0
18/12/2017;25;31,5;26,9;83;0,8;2,4;4;260;5;8;1;0
19/12/2017;24;31,6;27,1;83;9,2;1,2;4;260;5;8;1;0
20/12/2017;25;28;25;96;5,2;0;5;270;5;8;1;1
21/12/2017;24;28,4;25;94;17;0,1;3;260;3;8;1;0
22/12/2017;24;32,3;27,4;82;14;6,5;4;260;6;8;1;0
28/12/2017;24;32,2;27,4;79;4,5;1,4;4;260;5;8;1;0
31/12/2017;25;35;27,8;85;1,6;5,5;4;260;4;8;1;0
01/01/2018;24;34;28,1;80;21,3;8;6;240;5;8;1;0
05/01/2018;26;30,8;27,8;72;0,3;1,8;7;250;10;8;1;0
11/01/2018;24;33;27,1;77;0,3;0,7;6;260;6;8;1;0
12/01/2018;25;32,4;27,9;68;0,2;1,1;7;260;6;8;1;0
13/01/2018;25;33;27,9;81;1,5;3,8;4;260;6;8;1;0
14/01/2018;26;31,6;25,6;87;12,2;3,4;4;270;5;8;1;0
15/01/2018;23;31;24,4;93;9,7;1,7;5;230;5;8;1;0
16/01/2018;23;30,6;26,6;76;19,3;2,1;6;260;9;8;1;0
18/01/2018;24;29;25,1;92;2,3;0;2;220;2;8;1;0
19/01/2018;24;29,2;26,1;84;6;0;5;250;7;8;1;0
20/01/2018;24;31,4;26,5;84;1,3;2;9;230;7;7;1;0
21/01/2018;24;31,6;27;82;6,2;0,7;4;250;5;8;1;0
22/01/2018;24;30,4;25,6;89;4,5;0;6;260;10;8;1;0
23/01/2018;24;32,2;26,7;84;1,5;3,6;4;260;7;8;1;0
24/01/2018;24;34;27,1;84;7,8;4,4;4;260;5;8;1;0
25/01/2018;25;29,6;25,8;85;26;0,1;5;230;6;7;1;0
27/01/2018;23;32,2;28;76;4,2;1,9;5;260;6;8;1;0
28/01/2018;24;28,8;25,2;90;1,3;0,8;5;260;6;8;1;0
29/01/2018;23;31,2;25,8;86;7,6;3,4;4;240;7;7;1;0
30/01/2018;24;31,3;26;90;10,7;5,9;4;260;6;8;1;0
31/01/2018;24;31,4;26,9;84;4,4;1,8;3;250;5;8;1;0
01/02/2018;25;32,8;27,4;86;3;1,8;4;290;1;8;1;0
02/02/2018;25;33;27,6;83;20,6;3,3;4;280;2;8;1;0
